/M0/D X,/M0/D Y
0,1.09579364896209e-14
9.185467994839759e-13,5.655000927673038e-09
1.631544862963204e-12,5.329700944556378e-09
3.057540989921661e-12,4.642244127961252e-09
5.89021065206803e-12,3.472762073065582e-09
1.155554997636077e-11,1.767752944745345e-09
1.835349400814356e-11,5.218440916832403e-10
2.521540177173354e-11,-1.541956564182218e-10
3.269124607351729e-11,-4.981355214397921e-10
4.102695348056775e-11,-6.237241293111817e-10
5.062308056498752e-11,-6.128957746541865e-10
6.208430364757966e-11,-5.237344877385814e-10
7.627512542915645e-11,-3.994337115122492e-10
9.476355060313152e-11,-2.709226362797042e-10
1.212191313690413e-10,-1.553127562310986e-10
1.650825347586975e-10,-5.886888648549325e-11
2.161343417126384e-10,-1.220471365506464e-11
2.670312142251557e-10,-5.394319072328743e-12
3.219387910455231e-10,-8.197436698076986e-11
3.55561847201297e-10,-3.054805249408307e-10
3.889491038932786e-10,-8.389107528990306e-10
4.143218886210229e-10,-1.574175130709975e-09
4.332566389231005e-10,-2.301538328188949e-09
4.49559511113314e-10,-2.97263832760589e-09
4.649999465083147e-10,-3.490929276404326e-09
4.840518425690349e-10,-4.449152603561826e-09
4.976764959401561e-10,-5.104422938830493e-09
5.138509659155308e-10,-5.999302666675549e-09
5.30287784900436e-10,-7.240656826975134e-09
5.419400133702006e-10,-8.486624736611829e-09
5.536491509125738e-10,-9.890002701801577e-09
5.657199823220729e-10,-1.110013996948508e-08
5.807958680098906e-10,-1.20211952527285e-08
5.933966089527677e-10,-1.246180438357133e-08
6.058577909338128e-10,-1.292399780373243e-08
6.231011532621422e-10,-1.360695556586589e-08
6.499427243238306e-10,-1.497084658813348e-08
6.643001844159418e-10,-1.615903110200849e-08
6.78601560860368e-10,-1.774454577374502e-08
6.916799430589956e-10,-1.957991285943809e-08
7.032410033470422e-10,-2.152665699505149e-08
7.140522264339323e-10,-2.352701413177179e-08
7.241627830232273e-10,-2.527556140251222e-08
7.336317572108534e-10,-2.617734145427039e-08
7.426209771730214e-10,-2.512535957577557e-08
7.513882344681172e-10,-2.00188618589207e-08
7.580281233261863e-10,-1.109284996315096e-08
7.632873415534555e-10,5.100179631597099e-10
7.67851085338946e-10,1.453419006420356e-08
7.719881972417535e-10,3.095212953367264e-08
7.758746107018572e-10,5.005492422424624e-08
7.795906104279696e-10,7.207849482437739e-08
7.831666859959181e-10,9.711033648913162e-08
7.866259503553445e-10,1.252167533589887e-07
7.899881720531001e-10,1.564653524007395e-07
7.932699487636704e-10,1.909360483747649e-07
7.964835797919725e-10,2.287160487894537e-07
7.996354648898748e-10,2.698763860258154e-07
8.027266031202011e-10,3.102801684042713e-07
8.064529085749361e-10,3.675316033331483e-07
8.092282386113219e-10,4.193509304813033e-07
8.1158218893179e-10,4.660858571591887e-07
8.142121168109183e-10,5.233827467609391e-07
8.167259719553738e-10,5.839781145985102e-07
8.191413245945269e-10,6.485962650654256e-07
8.214633784174371e-10,7.177932361245312e-07
8.236645418217182e-10,7.909982251548011e-07
8.25755842759605e-10,8.684270330525359e-07
8.277624859366208e-10,9.504986766902149e-07
8.297227621483919e-10,1.037935760199226e-06
8.316896399495914e-10,1.132131171317585e-06
8.337261528388888e-10,1.235363968177486e-06
8.358896174601356e-10,1.350390997676598e-06
8.382005650830787e-10,1.478906169581735e-06
8.406300942064251e-10,1.620387898204545e-06
8.431136407723738e-10,1.771996992232769e-06
8.456130771276115e-10,1.931922782292909e-06
8.479780390254452e-10,2.090464361600973e-06
8.501661839229066e-10,2.244022797557819e-06
8.522332669429374e-10,2.39577710897103e-06
8.542114156883769e-10,2.54781877129623e-06
8.561058583387362e-10,2.700488713203165e-06
8.579181191262898e-10,2.853830270978752e-06
8.59652696724221e-10,3.008088223468695e-06
8.613182167003963e-10,3.16384916458339e-06
8.629290625562477e-10,3.322255261907407e-06
8.645072597784145e-10,3.485287841226836e-06
8.660860366033803e-10,3.656272752778504e-06
8.677196790307235e-10,3.841146243215706e-06
8.694293532853898e-10,4.042216580410213e-06
8.712327750644279e-10,4.260514279513481e-06
8.73284486872846e-10,4.512646820128961e-06
8.752062853501435e-10,4.748313542710502e-06
8.768244967403642e-10,4.943654663639801e-06
8.783815132496835e-10,5.128327896948179e-06
8.800605025510459e-10,5.323227534461751e-06
8.818667794194112e-10,5.526575082753889e-06
8.838154245265257e-10,5.736254921194956e-06
8.860778451373248e-10,5.961538609375829e-06
8.889304834460909e-10,6.200293096703549e-06
8.905910785004473e-10,6.295645221412596e-06
8.922039799394592e-10,6.347520786866619e-06
8.936639608346962e-10,6.349183554877945e-06
8.949583166310494e-10,6.307511900885984e-06
8.962056662565255e-10,6.228079060223295e-06
8.974536962936226e-10,6.111200490079108e-06
8.987015569060951e-10,5.960524171291174e-06
8.999453714325711e-10,5.782382588672287e-06
9.012518310227689e-10,5.571776126844482e-06
9.027568471702596e-10,5.306068750508267e-06
9.043651101614413e-10,5.001540861821836e-06
9.058748246997569e-10,4.700936193225899e-06
9.073338264838057e-10,4.397077524985196e-06
9.087843139377077e-10,4.08154550131401e-06
9.102246614527103e-10,3.755187843005885e-06
9.116989985822552e-10,3.407960562677059e-06
9.13244485938711e-10,3.030959286909041e-06
9.148797762531578e-10,2.620531633912051e-06
9.166157363173961e-10,2.177569537037579e-06
9.184600433994728e-10,1.709216533046808e-06
9.204119885337837e-10,1.234919480708756e-06
9.224527020623792e-10,7.95715226150554e-07
9.245352761499292e-10,4.623591948477013e-07
9.263153776375815e-10,3.465959780707141e-07
9.277529774107963e-10,4.255438896181837e-07
9.289890071171688e-10,6.439567135001299e-07
9.301132093331962e-10,9.900246906667566e-07
9.31155960609335e-10,1.430841010641009e-06
9.321865907504236e-10,1.973160713418823e-06
9.332332298418832e-10,2.620856328682551e-06
9.343162567809086e-10,3.368291366450253e-06
9.354855327363567e-10,4.222552598444267e-06
9.368478774095995e-10,5.221089643984928e-06
9.38820465922175e-10,6.570167685072865e-06
9.402252653314065e-10,7.365418766130064e-06
9.415524659583246e-10,7.995688337112631e-06
9.428497281764073e-10,8.510841622545347e-06
9.441398090392372e-10,8.927615015326926e-06
9.454614975088131e-10,9.267321676346849e-06
9.468399608770222e-10,9.539222655410712e-06
9.48288648472386e-10,9.746440497301105e-06
9.498181287708229e-10,9.890626523393738e-06
9.514387896181815e-10,9.972639168731362e-06
9.531604218222647e-10,9.992602391938627e-06
9.549924213497719e-10,9.950330173595808e-06
9.569453844364465e-10,9.845845714921384e-06
9.590342635239798e-10,9.679729009500587e-06
9.612837205276013e-10,9.453020595620077e-06
9.637366462608932e-10,9.166335385261962e-06
9.664680319023115e-10,8.817871405293542e-06
9.69611888530637e-10,8.399720306405707e-06
9.734323925939428e-10,7.889474302372353e-06
9.786271506523774e-10,7.216595562283955e-06
9.846522584732947e-10,6.485295438854973e-06
9.901663312212553e-10,5.869925655775474e-06
9.952704818778122e-10,5.34255788243501e-06
1e-09,4.887946602304512e-06
1.001005759096654e-09,4.78243201831402e-06
1.001929964521943e-09,4.697393384250576e-06
1.003028143439174e-09,4.600949816307841e-06
1.004958823601189e-09,4.435098014857439e-06
1.008668906545295e-09,4.129595238808433e-06
1.01563277162928e-09,3.602496704505502e-06
