/M0/D X,/M0/D Y
0,1.09579364896209e-14
8.042963485743532e-13,5.707490100953982e-09
1.470805332991137e-12,5.407919047556402e-09
2.803823301824706e-12,4.75488329169118e-09
5.34781400949866e-12,3.672687474807077e-09
1.043579542484657e-11,2.045146407432826e-09
1.720036129388709e-11,6.839863429629374e-10
2.398758229306066e-11,-6.459194326346082e-11
3.13318198653895e-11,-4.561518527981876e-10
3.950567294081007e-11,-6.132762299365521e-10
4.885117799095599e-11,-6.215062996022286e-10
5.994589566470131e-11,-5.425258317656485e-10
7.358562098561616e-11,-4.217763997252803e-10
9.116485656092841e-11,-2.923898496250661e-10
1.157652501730157e-10,-1.740926386551563e-10
1.586584822193084e-10,-6.794510319589072e-11
2.086602892311875e-10,-1.612598856477293e-11
2.589080408658432e-10,-3.512807529135134e-12
3.134149378583836e-10,-5.902010587820968e-11
3.650146622847971e-10,-3.587309382831681e-10
3.878420358291174e-10,-8.179358898082188e-10
4.102515250624676e-10,-1.478932057893099e-09
4.293433885810208e-10,-2.175050584952599e-09
4.454831857394032e-10,-2.820355628379902e-09
4.622831052135958e-10,-3.406589345751858e-09
4.821636347439889e-10,-4.328539726028332e-09
4.972326911698391e-10,-5.074933410666202e-09
5.151548413806631e-10,-6.065128815840058e-09
5.315659177414747e-10,-7.348830275346849e-09
5.437160890560491e-10,-8.686762567190577e-09
5.555060132911571e-10,-1.010818463210175e-08
5.678323467741007e-10,-1.127034687849457e-08
5.833581109290626e-10,-1.213804309114827e-08
5.958332666035226e-10,-1.255151686532402e-08
6.086010241642709e-10,-1.302789581017703e-08
6.271082706317876e-10,-1.377469775644413e-08
6.455481246504408e-10,-1.472365052903718e-08
6.661170078528449e-10,-1.632113686790727e-08
6.814514776672477e-10,-1.807513776430656e-08
6.941257285521481e-10,-1.994760814712819e-08
7.056488003871644e-10,-2.195213042529833e-08
7.162308059946626e-10,-2.392478024140086e-08
7.261298257098357e-10,-2.555124397405723e-08
7.354734475759057e-10,-2.616912387826425e-08
7.443892379039086e-10,-2.45125893516456e-08
7.526903009378572e-10,-1.86677568221283e-08
7.590040210495912e-10,-9.241658656288845e-09
7.641017468659175e-10,2.7626668913143e-09
7.685733489540973e-10,1.717603073079483e-08
7.726594643245833e-10,3.403494262165646e-08
7.765142221256277e-10,5.363093239144116e-08
7.802050971762767e-10,7.61685152722015e-08
7.83759939005023e-10,1.017249437087108e-07
7.87201294063001e-10,1.303652799956483e-07
7.905485999459e-10,1.621596227943548e-07
7.93817919889866e-10,1.971907898020579e-07
7.970206484036259e-10,2.355452313323502e-07
8.001621542776196e-10,2.772893324400773e-07
8.032426117264385e-10,3.168345480168918e-07
8.057414921712982e-10,3.562324830936115e-07
8.081759599440565e-10,3.998847169417982e-07
8.105830631482972e-10,4.45980004203921e-07
8.132300718725309e-10,5.015494070325612e-07
8.158097388785294e-10,5.614127714034136e-07
8.182888726872949e-10,6.252540853148004e-07
8.20659414315314e-10,6.932364840351449e-07
8.229039950052359e-10,7.650815756230438e-07
8.25031648275767e-10,8.410078799226298e-07
