/M0/D X,/M0/D Y
0,1.09579364896209e-14
9.488109342117275e-13,5.641022362442015e-09
1.673653824368442e-12,5.309455794105967e-09
3.123339604681872e-12,4.613487833075309e-09
6.022711165308732e-12,3.425335773779801e-09
1.182145428656245e-11,1.705476147899351e-09
1.863069815360619e-11,4.852072942433141e-10
2.551156357669182e-11,-1.742772959691411e-10
3.301898598054618e-11,-5.072544119885267e-10
4.13941775444778e-11,-6.2565690945145e-10
5.105156223962868e-11,-6.105250471889558e-10
6.260314745582211e-11,-5.191226503009361e-10
7.693134831195857e-11,-3.941079683825023e-10
9.565009482291048e-11,-2.658789185018844e-10
1.225940568370457e-10,-1.509013480506128e-10
1.666985804994137e-10,-5.673350542224724e-11
2.178244621876421e-10,-1.144682119097482e-11
2.688763229566381e-10,-6.062036194269321e-12
3.238577861088073e-10,-8.804492852406797e-11
3.568738214169737e-10,-3.194369861924316e-10
3.897098454079938e-10,-8.589688920880768e-10
4.147738749286086e-10,-1.592620598201953e-09
4.33546909518471e-10,-2.314263038377711e-09
4.376269122633454e-10,-2.4884881193389e-09
4.457869177530942e-10,-2.871817458311712e-09
4.551671244380112e-10,-3.125741004534053e-09
4.627488107033683e-10,-3.459347229800754e-09
4.779121832340825e-10,-4.185768539275822e-09
4.907767250952718e-10,-4.774938576351668e-09
5.092767743449924e-10,-5.684387666998327e-09
5.192308657384894e-10,-6.443694410335299e-09
5.277204795339923e-10,-7.12750389115508e-09
5.378267978295164e-10,-8.064597752098686e-09
5.510906164016735e-10,-9.51326645485869e-09
5.632177522805737e-10,-1.086121560428115e-08
5.777133880621362e-10,-1.187373940102187e-08
5.909526796145389e-10,-1.238217333947125e-08
6.031391919637048e-10,-1.281898381954668e-08
6.187385242673784e-10,-1.342795220657761e-08
6.42568848659454e-10,-1.45281442714558e-08
6.574248458815878e-10,-1.556971015971559e-08
6.730108415030074e-10,-1.708140592178394e-08
6.867787906103753e-10,-1.883996253707137e-08
6.98803284358008e-10,-2.074007588329895e-08
7.099536911858286e-10,-2.275356899240162e-08
7.20324504928264e-10,-2.465227965841893e-08
7.300148910934162e-10,-2.598310086312747e-08
7.391657804924729e-10,-2.588460735630223e-08
7.479736898295871e-10,-2.272978395404313e-08
7.553560289451158e-10,-1.54149515012681e-08
7.610945478472075e-10,-4.970932311399517e-09
7.659070525687143e-10,7.935487473915855e-09
7.702058738211629e-10,2.323739819398254e-08
7.741934486334401e-10,4.110561783573983e-08
7.779824869202978e-10,6.180764074795656e-08
7.816192581314124e-10,8.548568947220468e-08
7.851286021385148e-10,1.122067136378343e-07
