/M0/D X,/M0/D Y
0,8.769298221605881e-15
9.917890024224408e-13,5.621070429662745e-09
1.733148387335177e-12,5.280974871317888e-09
3.215867157160651e-12,4.573366065659287e-09
6.181304696811597e-12,3.369654452200317e-09
1.211217977611349e-11,1.639635403380909e-09
1.893925542557051e-11,4.461426692726915e-10
2.584341967702701e-11,-1.955909293725619e-10
3.338686340854555e-11,-5.167207195727586e-10
4.180734208248575e-11,-6.273952036560879e-10
5.153356202211696e-11,-6.076672132551011e-10
6.318657672344116e-11,-5.139258452279636e-10
7.766962410102264e-11,-3.882263059306561e-10
9.665000364421959e-11,-2.603714542153958e-10
1.241592394481063e-10,-1.460895521048671e-10
1.685367594777966e-10,-5.440542909249543e-11
2.1932680272482e-10,-1.092827416689913e-11
2.705064267845426e-10,-6.825496359457599e-12
3.255742862910901e-10,-9.380978641978429e-11
3.579772388603256e-10,-3.318252244317114e-10
3.903197516424155e-10,-8.764202259419646e-10
4.149880710177071e-10,-1.604676075662137e-09
4.338021348254041e-10,-2.324802433936566e-09
4.517701479457527e-10,-3.047810831291653e-09
4.689606789028518e-10,-3.680028714380076e-09
4.856603457152791e-10,-4.516112444324666e-09
5.031537610305543e-10,-5.375823176266275e-09
5.193623206407057e-10,-6.378449903262112e-09
5.351776843499042e-10,-7.677419843511588e-09
5.493749142949194e-10,-9.316865164709004e-09
5.610905974960671e-10,-1.072369307825014e-08
5.747592411837582e-10,-1.173918771922793e-08
5.881859680959335e-10,-1.229448154082496e-08
6.002369305984602e-10,-1.271923196575498e-08
6.149266490769648e-10,-1.328874451753051e-08
6.37052162018964e-10,-1.424541087508343e-08
6.51335975965365e-10,-1.512828095966992e-08
6.68191625462427e-10,-1.658434564319504e-08
6.826779815768815e-10,-1.828947052266671e-08
6.95084343286118e-10,-2.014345921701739e-08
7.065322317409124e-10,-2.214941211156898e-08
7.171237421437419e-10,-2.412221209178512e-08
7.269996143790389e-10,-2.57010105394722e-08
7.363007316535139e-10,-2.618162371493982e-08
7.45184064220499e-10,-2.422753378229762e-08
7.532624858144641e-10,-1.806467448530234e-08
7.594376120802956e-10,-8.420885204558211e-09
7.644677048384063e-10,3.769523928252763e-09
7.688994501754703e-10,1.836534004471639e-08
7.72963668962067e-10,3.543443469317149e-08
7.7680441733757e-10,5.526398350375711e-08
7.804838952446056e-10,7.804397608064683e-08
7.840291132894539e-10,1.038483547808926e-07
7.87462367005874e-10,1.327416181295766e-07
7.908029375340985e-10,1.647950113166669e-07
7.940666214967743e-10,2.000924704149912e-07
7.972643791613678e-10,2.3871964643999e-07
8.004011051452935e-10,2.807404160703875e-07
8.034766024283726e-10,3.199417646643574e-07
8.058710550340652e-10,3.587468737923163e-07
8.081982721733995e-10,4.00438837168536e-07
8.1064781252142e-10,4.474430499704396e-07
8.132934238306877e-10,5.031416012983503e-07
8.158708938289222e-10,5.631345427920799e-07
8.183514928827888e-10,6.272256977213439e-07
8.207188844552883e-10,6.953678320700337e-07
8.229598080076803e-10,7.673767467020232e-07
8.250842805401716e-10,8.434943752747462e-07
8.271137565049056e-10,9.240804846676042e-07
8.290828939424029e-10,1.009747906382655e-06
8.310408238164951e-10,1.101664021186995e-06
8.330476390550857e-10,1.201787900974211e-06
8.351670292687566e-10,1.312926542275861e-06
8.374328754572712e-10,1.437223380332758e-06
8.398355876378913e-10,1.575154763661883e-06
8.423150568730726e-10,1.724317387669842e-06
8.448209463222498e-10,1.88232114236214e-06
8.4728109482504e-10,2.044863408897077e-06
8.495586470340218e-10,2.202525343514539e-06
8.516920276976965e-10,2.357126818296801e-06
8.537307764123473e-10,2.511834235921315e-06
8.556863179943898e-10,2.667450593946152e-06
8.575587476436534e-10,2.82395034025677e-06
8.593504450298953e-10,2.981429774770459e-06
8.61067719324716e-10,3.140275278441569e-06
8.627222249848026e-10,3.301345703566427e-06
8.643327072578099e-10,3.466225346089095e-06
8.659274552767412e-10,3.637594591851502e-06
8.675506550547935e-10,3.820069386535359e-06
8.692500876556203e-10,4.01888245894682e-06
8.71040234891349e-10,4.234940961791839e-06
8.730523228969405e-10,4.48219261803113e-06
8.752468177988423e-10,4.752085662452823e-06
8.769967754659197e-10,4.963539713243933e-06
8.785582888615685e-10,5.148392494303797e-06
8.802086430558825e-10,5.339522032588983e-06
8.82021608108217e-10,5.542884363144221e-06
8.840024237002682e-10,5.754405590883779e-06
8.863221966335976e-10,5.98146538165569e-06
8.891431328300213e-10,6.208153686940397e-06
8.907722078881572e-10,6.292642271795029e-06
8.923423658088955e-10,6.332599514821721e-06
8.937781647447175e-10,6.323436891243742e-06
8.950656937593889e-10,6.271479015479441e-06
8.963140942602816e-10,6.181354268862883e-06
8.975660860281643e-10,6.053681432549605e-06
8.988111292359573e-10,5.894064946131548e-06
9.00091391379361e-10,5.702606317783575e-06
9.015118618945964e-10,5.465233573390287e-06
9.033192609344981e-10,5.134179855229151e-06
9.049274746219507e-10,4.821277740853548e-06
