/M0/D X,/M0/D Y
0,6.592775912868387e-15
9.917890024224408e-13,5.621006797179285e-09
1.733148387335177e-12,5.280938105908041e-09
3.215867157160651e-12,4.573377825918014e-09
6.181304696811597e-12,3.369743581670644e-09
1.211217977611349e-11,1.639799976229621e-09
1.893896839628675e-11,4.463980497686109e-10
2.584281851670412e-11,-1.953433882180514e-10
3.3385909278721e-11,-5.165196117119318e-10
4.180595830206561e-11,-6.272680081171211e-10
5.153164525560461e-11,-6.076226966168148e-10
6.318394337211515e-11,-5.139492382188086e-10
7.766592460967385e-11,-3.883014384347189e-10
9.664453983339431e-11,-2.604634890057812e-10
1.241499932108741e-10,-1.461757405813999e-10
1.685259462138407e-10,-5.445357469793169e-11
2.193276796781942e-10,-1.093601911838242e-11
2.70507762030566e-10,-6.825825841150928e-12
3.255740758283777e-10,-9.381814987015257e-11
3.578150667948073e-10,-3.305282123074972e-10
3.901433629185842e-10,-8.737661407149253e-10
4.147014528222298e-10,-1.596155525564658e-09
4.336085063980943e-10,-2.320736893947855e-09
4.500570143692278e-10,-2.988264527528692e-09
4.677669370691036e-10,-3.620495252362012e-09
4.874268776240463e-10,-4.593213982604136e-09
5.028792450552397e-10,-5.380599263359736e-09
5.208061908470944e-10,-6.442235420691325e-09
5.379150391652258e-10,-7.926086439205961e-09
5.513110251701178e-10,-9.58822173696901e-09
5.629825583581941e-10,-1.092180277859736e-08
5.772082695803621e-10,-1.187628061658783e-08
5.899388945558955e-10,-1.235322006026427e-08
6.020069948307143e-10,-1.279158347070673e-08
6.177415666389295e-10,-1.340694818092338e-08
6.417092045509838e-10,-1.44978047212113e-08
6.564173528361681e-10,-1.551302786349216e-08
6.721758049021866e-10,-1.702015978414432e-08
6.860505198748806e-10,-1.877594370795652e-08
6.981267016016064e-10,-2.067475634768292e-08
7.093228033799313e-10,-2.269639692241551e-08
7.197294503447815e-10,-2.462035361022797e-08
7.294495713828089e-10,-2.600970430059641e-08
7.386237145552998e-10,-2.603118836346947e-08
7.474409348708154e-10,-2.311039786748823e-08
7.549343815822379e-10,-1.600496846317319e-08
7.607435731325162e-10,-5.706404519277388e-09
7.655921912719695e-10,7.06826250111829e-09
7.699137841842402e-10,2.224098640323386e-08
7.739150946827429e-10,3.996545517589768e-08
7.777137991363242e-10,6.051287208169342e-08
7.813586449874053e-10,8.40331645817504e-08
7.848747839141326e-10,1.105938299151147e-07
7.882837663426345e-10,1.402592044014948e-07
7.916042300837435e-10,1.731040935150893e-07
7.948510016399434e-10,2.092150393286369e-07
7.980335914129573e-10,2.486739077387617e-07
8.011555579026984e-10,2.915043785273748e-07
8.042157164155403e-10,3.296121289331927e-07
8.063431026034164e-10,3.674549796308326e-07
8.083895894918085e-10,4.040404674848355e-07
8.110455774454998e-10,4.555711719302474e-07
8.1367605863274e-10,5.117827829616557e-07
8.162374488204753e-10,5.723260902660988e-07
8.187153014654248e-10,6.373963451893381e-07
8.210631920741931e-10,7.061501153164404e-07
8.232849068459325e-10,7.78799259007797e-07
8.253934129058649e-10,8.556450067885171e-07
8.274107272798106e-10,9.370255539579137e-07
8.293743761796943e-10,1.023635368573698e-06
8.313353893278531e-10,1.116739308378686e-06
8.333552008823283e-10,1.218433712789209e-06
8.354952749652067e-10,1.331537757598803e-06
8.377869334696185e-10,1.458197828171404e-06
